,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,publisher_platform,platform_position,post_engagement,page_engagement,video_view,link_click,campaign_id,post_reaction,post,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,like,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
449,66d7e310b3fdb1cfea4461a7,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'link_click', 'value': '1'}]",121.434051,465,1,121.434051,261.148496,0.215054,2024-06-01,2024-07-30,instagram,instagram_explore,2.0,2.0,,1.0,120210240647220764,,,,,,,,,,1.0,,,,,,
450,66d7e310b3fdb1cfea4461a8,"[{'action_type': 'post_engagement', 'value': '2'}, {'action_type': 'page_engagement', 'value': '2'}, {'action_type': 'post_reaction', 'value': '2'}]",8.929563,66,0,,135.296402,0,2024-06-01,2024-07-30,instagram,instagram_profile_feed,2.0,2.0,,,120210240647220764,2.0,,,,,,,,,,,,,,,
451,66d7e310b3fdb1cfea4461a9,"[{'action_type': 'post_engagement', 'value': '260'}, {'action_type': 'comment', 'value': '2'}, {'action_type': 'page_engagement', 'value': '260'}, {'action_type': 'lead', 'value': '20'}, {'action_type': 'post', 'value': '7'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '20'}, {'action_type': 'post_reaction', 'value': '83'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '12'}, {'action_type': 'link_click', 'value': '168'}]",19348.212065,87393,303,63.855485,221.393156,0.34671,2024-06-01,2024-07-30,instagram,instagram_reels,260.0,260.0,,168.0,120210240647220764,83.0,7.0,,967.41060325,20.0,20.0,12.0,2.0,,,,,,,,
452,66d7e310b3fdb1cfea4461aa,,5.369737,22,0,,244.078951,0,2024-06-01,2024-07-30,instagram,instagram_search,,,,,120210240647220764,,,,,,,,,,,,,,,,
453,66d7e310b3fdb1cfea4461ab,"[{'action_type': 'landing_page_view', 'value': '1'}, {'action_type': 'post_engagement', 'value': '444'}, {'action_type': 'page_engagement', 'value': '444'}, {'action_type': 'lead', 'value': '55'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '55'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '31'}, {'action_type': 'link_click', 'value': '444'}]",38461.295649,114980,592,64.968405,334.504224,0.514872,2024-06-01,2024-07-30,instagram,instagram_stories,444.0,444.0,,444.0,120210240647220764,,,1.0,699.2962845272727,55.0,55.0,31.0,,,,,,,,,
454,66d7e310b3fdb1cfea4461ac,"[{'action_type': 'post_engagement', 'value': '69'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '69'}, {'action_type': 'lead', 'value': '19'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '19'}, {'action_type': 'post_reaction', 'value': '7'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '17'}, {'action_type': 'link_click', 'value': '61'}]",892.680212,9652,242,3.688761,92.486553,2.507252,2024-05-23,2024-07-21,facebook,facebook_reels,69.0,69.0,,61.0,120210058205520764,7.0,,,46.98316905263158,19.0,19.0,17.0,1.0,,,,,,,,
455,66d7e310b3fdb1cfea4461ad,"[{'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",4.545876,487,1,4.545876,9.334448,0.205339,2024-05-23,2024-07-21,facebook,facebook_reels_overlay,1.0,1.0,,1.0,120210058205520764,,,,,,,,,,,,,,,,
456,66d7e310b3fdb1cfea4461ae,"[{'action_type': 'post_engagement', 'value': '54'}, {'action_type': 'page_engagement', 'value': '54'}, {'action_type': 'lead', 'value': '10'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '10'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '12'}, {'action_type': 'link_click', 'value': '54'}]",570.182763,5649,82,6.953448,100.935168,1.451584,2024-05-23,2024-07-21,facebook,facebook_stories,54.0,54.0,,54.0,120210058205520764,,,,57.018276300000004,10.0,10.0,12.0,,,,,,,,,
457,66d7e310b3fdb1cfea4461af,"[{'action_type': 'landing_page_view', 'value': '4'}, {'action_type': 'post_engagement', 'value': '636'}, {'action_type': 'onsite_conversion.post_save', 'value': '5'}, {'action_type': 'comment', 'value': '14'}, {'action_type': 'page_engagement', 'value': '638'}, {'action_type': 'lead', 'value': '86'}, {'action_type': 'like', 'value': '2'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '86'}, {'action_type': 'post_reaction', 'value': '71'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '101'}, {'action_type': 'link_click', 'value': '546'}]",4000.610874,54734,2023,1.977563,73.091878,3.696057,2024-05-23,2024-07-21,facebook,feed,636.0,638.0,,546.0,120210058205520764,71.0,,4.0,46.518731093023256,86.0,86.0,101.0,14.0,2.0,5.0,,,,,,
458,66d7e310b3fdb1cfea4461b0,"[{'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",26.226209,578,1,26.226209,45.374064,0.17301,2024-05-23,2024-07-21,facebook,instream_video,1.0,1.0,,1.0,120210058205520764,,,,,,,,,,,,,,,,
