,_id,actions,spend,impressions,clicks,cpc,cpm,ctr,date_start,date_stop,age,gender,post_engagement,page_engagement,video_view,campaign_id,post,post_reaction,link_click,landing_page_view,cpl,lead,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,comment,onsite_conversion.post_save,like,onsite_conversion.messaging_first_reply,onsite_conversion.messaging_conversation_started_7d,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
446,66d7e30cb3fdb1cfea445e8d,"[{'action_type': 'post_engagement', 'value': '4'}, {'action_type': 'page_engagement', 'value': '4'}, {'action_type': 'link_click', 'value': '4'}]",214.281005,415,10,21.428101,516.339772,2.409639,2024-04-17,2024-06-16,55-64,female,4.0,4.0,,120208758419140764,,,4.0,,,,,,,,,,,,,,
447,66d7e30cb3fdb1cfea445e8e,"[{'action_type': 'post_engagement', 'value': '9'}, {'action_type': 'page_engagement', 'value': '9'}, {'action_type': 'link_click', 'value': '9'}]",623.355661,1550,16,38.959729,402.164942,1.032258,2024-04-17,2024-06-16,55-64,male,9.0,9.0,,120208758419140764,,,9.0,,,,,,,,,,,,,,
448,66d7e30cb3fdb1cfea445e8f,,8.979566,27,0,,332.576509,0,2024-04-17,2024-06-16,55-64,unknown,,,,120208758419140764,,,,,,,,,,,,,,,,,
449,66d7e30cb3fdb1cfea445e90,"[{'action_type': 'post_engagement', 'value': '32'}, {'action_type': 'onsite_conversion.post_save', 'value': '5'}, {'action_type': 'page_engagement', 'value': '32'}, {'action_type': 'lead', 'value': '5'}, {'action_type': 'post', 'value': '7'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '5'}, {'action_type': 'post_reaction', 'value': '2'}, {'action_type': 'link_click', 'value': '18'}]",1631.643511,4740,38,42.937987,344.228589,0.801688,2024-04-16,2024-06-14,25-34,female,32.0,32.0,,120208715543720764,7.0,2.0,18.0,,326.3287022,5.0,5.0,,,5.0,,,,,,,
450,66d7e30cb3fdb1cfea445e91,"[{'action_type': 'post_engagement', 'value': '148'}, {'action_type': 'onsite_conversion.post_save', 'value': '2'}, {'action_type': 'page_engagement', 'value': '148'}, {'action_type': 'lead', 'value': '18'}, {'action_type': 'post', 'value': '9'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '18'}, {'action_type': 'post_reaction', 'value': '22'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '4'}, {'action_type': 'link_click', 'value': '115'}]",8436.63466,52266,255,33.084842,161.417263,0.487889,2024-04-16,2024-06-14,25-34,male,148.0,148.0,,120208715543720764,9.0,22.0,115.0,,468.70192555555553,18.0,18.0,4.0,,2.0,,,,,,,
451,66d7e30cb3fdb1cfea445e92,,17.28182,48,0,,360.037907,0,2024-04-16,2024-06-14,25-34,unknown,,,,120208715543720764,,,,,,,,,,,,,,,,,
452,66d7e30cb3fdb1cfea445e93,"[{'action_type': 'post_engagement', 'value': '45'}, {'action_type': 'comment', 'value': '1'}, {'action_type': 'page_engagement', 'value': '45'}, {'action_type': 'lead', 'value': '7'}, {'action_type': 'post', 'value': '8'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '7'}, {'action_type': 'post_reaction', 'value': '7'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '6'}, {'action_type': 'link_click', 'value': '29'}]",2105.305219,6174,74,28.450071,340.995338,1.198575,2024-04-16,2024-06-14,35-44,female,45.0,45.0,,120208715543720764,8.0,7.0,29.0,,300.7578884285714,7.0,7.0,6.0,1.0,,,,,,,,
453,66d7e30cb3fdb1cfea445e94,"[{'action_type': 'post_engagement', 'value': '237'}, {'action_type': 'onsite_conversion.post_save', 'value': '1'}, {'action_type': 'page_engagement', 'value': '237'}, {'action_type': 'lead', 'value': '34'}, {'action_type': 'post', 'value': '11'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '34'}, {'action_type': 'post_reaction', 'value': '22'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '20'}, {'action_type': 'link_click', 'value': '203'}]",15010.738703,61342,508,29.548698,244.705727,0.828144,2024-04-16,2024-06-14,35-44,male,237.0,237.0,,120208715543720764,11.0,22.0,203.0,,441.49231479411765,34.0,34.0,20.0,,1.0,,,,,,,
454,66d7e30cb3fdb1cfea445e95,"[{'action_type': 'post_engagement', 'value': '1'}, {'action_type': 'page_engagement', 'value': '1'}, {'action_type': 'link_click', 'value': '1'}]",53.283945,237,1,53.283945,224.826773,0.421941,2024-04-16,2024-06-14,35-44,unknown,1.0,1.0,,120208715543720764,,,1.0,,,,,,,,,,,,,,
455,66d7e30cb3fdb1cfea445e96,"[{'action_type': 'post_engagement', 'value': '14'}, {'action_type': 'page_engagement', 'value': '14'}, {'action_type': 'lead', 'value': '4'}, {'action_type': 'onsite_conversion.lead_grouped', 'value': '4'}, {'action_type': 'post_reaction', 'value': '1'}, {'action_type': 'offsite_conversion.fb_pixel_custom', 'value': '1'}, {'action_type': 'link_click', 'value': '13'}]",838.29811,1842,31,27.041875,455.102123,1.682953,2024-04-16,2024-06-14,45-54,female,14.0,14.0,,120208715543720764,,1.0,13.0,,209.5745275,4.0,4.0,1.0,,,,,,,,,
