,_id,asset_text,spend,impressions,clicks,link_click,post_engagement,lead,page_engagement,post_reaction,video_view,cpm,cpc,ctr,cpl,ctl,campaign_id,onsite_conversion.lead_grouped,offsite_conversion.fb_pixel_custom,landing_page_view,comment,like,post,onsite_conversion.post_save,onsite_conversion.messaging_first_reply,onsite_conversion.total_messaging_connection,onsite_conversion.messaging_user_depth_2_message_send,onsite_conversion.messaging_conversation_replied_7d,onsite_conversion.messaging_user_depth_3_message_send
47,66d7e314b3fdb1cfea4463e9,Elevate Your Lifestyle At SmartWorld 69!,3248.358491,8356.0,106.0,45.0,135.0,14.0,135.0,17.0,71.0,388.7456308042125,30.6448914245283,0.012685495452369555,232.0256065,7.571428571428571,120211524349950764,14.0,13.0,,1.0,,1.0,,,,,,
48,66d7e314b3fdb1cfea4463ea, Live In Ultimate Luxury—Book A Visit Now!,501.093327,312.0,3.0,1.0,2.0,0.0,2.0,1.0,,1606.0683557692307,167.031109,0.009615384615384616,,,120211524349950764,,,,,,,,,,,,
49,66d7e314b3fdb1cfea4463eb,Act fast! Claim your dream home by filling out the form.,3249.448259,4950.0,72.0,27.0,754.0,4.0,754.0,10.0,716.0,656.4541937373737,45.13122581944444,0.014545454545454545,812.36206475,18.0,120211524349950764,4.0,3.0,,,,,1.0,,,,,
50,66d7e314b3fdb1cfea4463ec,Premium Living Awaits,627.659632,778.0,25.0,17.0,95.0,0.0,95.0,2.0,76.0,806.7604524421594,25.106385279999998,0.032133676092544985,,,120211318900910764,,,,,,,,,,,,
51,66d7e314b3fdb1cfea4463ed,Discover Parth Kiona Today,122.208682,404.0,5.0,2.0,45.0,0.0,45.0,0.0,43.0,302.4967376237624,24.4417364,0.012376237623762377,,,120211318900910764,,,,,,,,,,,,
52,66d7e314b3fdb1cfea4463ee,Luxury 2BHK at ₹84L+,40.486434,184.0,2.0,0.0,18.0,0.0,18.0,1.0,17.0,220.03496739130435,20.243217,0.010869565217391304,,,120211318900910764,,,,,,,,,,,,
53,66d7e314b3fdb1cfea4463ef,Luxury 2BHK at ₹78.50L+,389.736884,2248.0,11.0,6.0,9.0,0.0,9.0,3.0,,173.3705,35.43062581818182,0.004893238434163701,,,120211318900910764,,,,,,,,,,,,
54,66d7e314b3fdb1cfea4463f0,Luxury 2BHK at ₹78.50L+,92.143607,202.0,0.0,0.0,19.0,0.0,19.0,0.0,19.0,456.1564702970297,,0.0,,,120211318900910764,,,,,,,,,,,,
55,66d7e314b3fdb1cfea4463f1,Experience Elegance and Comfort,683.633226,954.0,8.0,6.0,76.0,0.0,76.0,2.0,68.0,716.5966729559749,85.45415325,0.008385744234800839,,,120211318900910764,,,,,,,,,,,,
56,66d7e314b3fdb1cfea4463f2,Discover Luxurious Living at Parth Kiona,10.451335,25.0,1.0,1.0,1.0,0.0,1.0,0.0,,418.0534,10.451335,0.04,,,120211318900910764,,,,,,,,,,,,
